output_csv,duration,count,sequence_ids
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab.csv,1/8,10,"1,2,8,10,16,18,19,22,23,24"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab.csv,1/4,18,"0,3,4,5,6,7,9,11,12,13,14,15,17,20,21,25,26,27"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab_fourstep.csv,1/8,4,"1,8,18,22"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab_non_chord.csv,1/8,9,"1,2,8,10,18,19,22,23,24"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab_non_chord.csv,1/4,5,"0,5,6,13,14"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw.csv,1/8,10,"0,1,2,3,4,5,6,7,8,9"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw_fourstep.csv,1/8,4,"0,2,5,7"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw_non_chord.csv,1/8,9,"0,1,2,3,5,6,7,8,9"
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-3.csv,1/8,2,"0,1"
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-3_fourstep.csv,1/8,1,0
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-2.csv,1/8,2,"0,1"
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-1.csv,1/8,1,0
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-0.csv,1/8,6,"0,1,2,3,4,5"
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-0_fourstep.csv,1/8,2,"0,2"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_voices_merged.csv,1/8,11,"0,1,2,3,4,5,6,7,8,9,10"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_voices_merged_fourstep.csv,1/8,3,"0,5,7"
