output_csv,sequence_length,count,sequence_ids
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab.csv,2,8,"0,5,6,13,14,20,21,25"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab.csv,4,6,"1,4,8,12,18,22"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab.csv,6,5,"2,10,17,23,24"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab.csv,8,3,"9,15,16"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab.csv,10,1,7
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab.csv,12,3,"3,11,19"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab.csv,14,1,26
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab.csv,30,1,27
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab_fourstep.csv,4,4,"1,8,18,22"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab_non_chord.csv,2,5,"0,5,6,13,14"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab_non_chord.csv,4,4,"1,8,18,22"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab_non_chord.csv,6,4,"2,10,23,24"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_abtab_non_chord.csv,12,1,19
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw.csv,4,4,"0,2,5,7"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw.csv,6,4,"1,3,8,9"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw.csv,8,1,4
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw.csv,12,1,6
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw_fourstep.csv,4,4,"0,2,5,7"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw_non_chord.csv,4,4,"0,2,5,7"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw_non_chord.csv,6,4,"1,3,8,9"
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_tab_raw_non_chord.csv,12,1,6
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-3.csv,3,1,1
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-3.csv,4,1,0
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-3_fourstep.csv,4,1,0
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-2.csv,6,2,"0,1"
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-1.csv,9,1,0
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-0.csv,3,1,3
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-0.csv,4,2,"0,2"
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-0.csv,6,2,"4,5"
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-0.csv,8,1,1
output/922_milano_098_que_voulez_vous_dire_de_moi/voices/922_milano_098_que_voulez_vous_dire_de_moi_voice-0_fourstep.csv,4,2,"0,2"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_voices_merged.csv,3,2,"1,8"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_voices_merged.csv,4,3,"0,5,7"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_voices_merged.csv,6,4,"2,3,9,10"
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_voices_merged.csv,8,1,6
output/922_milano_098_que_voulez_vous_dire_de_moi/922_milano_098_que_voulez_vous_dire_de_moi_voices_merged.csv,9,1,4
output/922_milano_098_que_voulez_vous_dire_de_moi/fourstep/922_milano_098_que_voulez_vous_dire_de_moi_voices_merged_fourstep.csv,4,3,"0,5,7"
